cut,flute_1,flute_2,flute_3
143,97.02835992,92.83754756,95.11871175
144,97.15111612,92.83754756,95.11871175
145,97.26386291,92.83754756,95.11871175
146,97.36684116,92.83754756,95.11871175
147,97.46030457,92.83754756,95.11871175
148,97.54451915,92.83754756,95.11871175
149,97.61976286,92.83754756,95.11871175
150,97.68632512,92.83754756,95.11871175
151,97.7445064,92.83754756,95.11871175
152,97.79461776,92.83754756,95.11871175
153,97.83698037,92.83754756,95.11871175
154,97.87192512,92.83754756,95.11871175
155,97.89979211,92.83754756,95.11871175
156,97.92093022,92.83754756,95.11871175
157,97.93569664,92.83754756,95.11871175
158,97.94445643,92.83754756,95.11871175
159,97.94758207,92.83754756,95.11871175
160,97.94758207,92.83754756,95.11871175
161,97.94758207,92.83754756,95.11871175
162,97.94758207,92.83754756,95.11871175
163,97.94758207,92.83754756,95.11871175
164,97.94758207,92.83754756,95.11871175
165,97.94758207,92.83754756,95.11871175
166,97.94758207,92.83754756,95.11871175
167,97.94758207,92.83754756,95.11871175
168,97.94758207,92.83754756,95.11871175
169,97.94758207,92.83754756,95.11871175
170,97.94758207,92.83754756,95.11871175
171,97.94758207,92.83754756,95.11871175
172,97.94758207,92.83754756,95.11871175
173,97.94758207,92.83754756,95.11871175
174,97.94758207,92.83754756,95.11871175
175,97.94758207,92.83754756,95.11871175
176,97.94758207,92.83754756,95.11871175
177,97.94758207,92.83754756,95.11871175
178,97.94758207,92.83754756,95.11871175
179,97.94758207,92.83754756,95.11871175
180,97.94758207,92.83754756,95.11871175
181,97.94758207,92.83754756,95.11871175
182,97.94758207,92.83754756,95.11871175
183,97.94758207,92.83754756,95.11871175
184,97.94758207,92.83754756,95.11871175
185,97.94758207,92.83754756,95.11871175
186,97.94758207,92.83754756,95.11871175
187,97.94758207,92.83754756,95.11871175
188,97.94758207,92.83754756,95.11871175
189,97.94758207,92.83754756,95.11871175
190,97.94758207,92.83754756,95.11871175
191,97.94758207,92.83754756,95.11871175
192,97.94758207,92.83754756,95.11871175
193,97.94758207,92.83754756,95.11871175
194,97.94758207,92.83754756,95.11871175
195,97.94758207,92.83754756,95.11871175
196,97.94758207,92.83754756,95.11871175
197,97.94758207,92.83754756,95.11871175
198,98.04939711,92.83754756,95.11871175
199,98.16385952,92.83754756,95.11871175
200,98.28908463,92.83754756,95.11871175
201,98.42538882,93.11895181,95.11871175
202,98.57308034,93.44953482,95.11871175
203,98.73245902,93.79772956,95.11871175
204,98.90381609,94.1637065,95.11871175
205,99.08743402,94.54762299,95.11871175
206,99.28358632,94.94962314,95.11871175
207,99.49253735,95.36983781,95.11871175
208,99.71454217,95.80838454,95.38992062
209,99.94984642,96.26536749,95.87059774
210,100.1986861,96.74087746,96.36895722
211,100.4612875,97.23499183,96.88499373
212,100.737867,97.74777459,97.41869002
213,101.0286311,98.27927631,97.97001698
214,101.3337761,98.82953419,98.53893374
215,101.6534881,99.39857206,99.12538773
216,101.9879429,99.98640043,99.72931479
217,102.337306,100.5930165,100.3506392
218,102.7017323,101.2184044,100.989274
219,103.0813662,101.8625349,101.6451207
220,103.4763417,102.5253658,102.3180698
221,103.8867818,103.2068418,103.0080008
222,104.3127991,103.9068949,103.7147822
223,104.7544953,104.6254442,104.4382717
224,105.2119613,105.362396,105.1783164
225,105.6852774,106.1176442,105.9347532
226,106.1745129,106.8910702,106.7074082
227,106.6797264,107.6825431,107.4960979
228,107.2009656,108.4919199,108.3006285
229,107.7382675,109.3190454,109.1207964
230,108.2916583,110.1637529,109.9563887
231,108.8611533,111.0258638,110.8071828
232,109.4467572,111.9051881,111.6729471
233,110.048464,112.8015244,112.5534408
234,110.6662571,113.7146603,113.4484144
235,111.3001091,114.6443724,114.3576099
236,111.9499823,115.5904267,115.2807608
237,112.6158284,116.5525786,116.2175924
238,113.2975887,117.5305732,117.1678223
239,113.9951942,118.5241458,118.1311602
240,114.7085656,119.5330215,119.1073083
241,115.4376137,120.556916,120.0959617
242,116.1822389,121.5955358,121.0968085
243,116.942332,122.648578,122.10953
244,117.7177737,123.715731,123.133801
245,118.5084351,124.7966747,124.16929
246,119.3141778,125.8910804,125.2156595
247,120.1348537,126.9986117,126.2725664
248,120.9703056,128.1189241,127.3396619
249,121.8203669,129.2516656,128.4165922
250,122.6848622,130.3964771,129.5029982
251,123.5636069,131.5529925,130.5985163
252,124.4564079,132.7208389,131.7027786
253,125.3630635,133.8996371,132.8154126
254,126.2833633,135.0890018,133.9360422
255,127.2170889,136.2885418,135.0642876
256,128.1640137,137.4978605,136.1997656
257,129.1239033,138.716556,137.3420898
258,130.0965154,139.9442215,138.4908711
259,131.0816002,141.1804455,139.6457177
260,132.0789007,142.4248124,140.8062356
261,133.0881525,143.6769023,141.9720286
262,134.1090844,144.9362918,143.1426991
263,135.1414183,146.202554,144.3178475
264,136.1848696,147.475259,145.4970734
265,137.2391473,148.7539741,146.6799753
266,138.3039542,150.0382639,147.8661509
267,139.3789872,151.3276912,149.0551976
268,140.4639374,152.6218167,150.2467126
269,141.5584906,153.9201996,151.4402933
270,142.6623269,155.2223977,152.6355373
271,143.7751217,156.5279683,153.832043
272,144.8965453,157.8364676,155.0294096
273,146.0262635,159.1474517,156.2272374
274,147.1639376,160.4604766,157.4251281
275,148.3092247,161.7750987,158.6226853
276,149.461778,163.090875,159.8195141
277,150.621247,164.4073631,161.015222
278,151.7872777,165.724122,162.2094189
279,152.9595127,167.0407123,163.4017172
280,154.1375919,168.3566961,164.5917323
281,155.321152,169.6716378,165.7790826
282,156.5098275,170.9851038,166.9633899
283,157.7032503,172.2966636,168.1442796
284,158.9010505,173.6058893,169.3213807
285,160.1028562,174.9123562,170.4943265
286,161.3082938,176.2156432,171.6627542
287,162.5169886,177.5153329,172.8263058
288,163.7285644,178.8110119,173.9846277
289,164.9426445,180.102271,175.1373712
290,166.1588513,181.3887056,176.2841928
291,167.3768067,182.6699161,177.4247539
292,168.5961328,183.9455075,178.5587218
293,169.8164512,185.2150905,179.6857691
294,171.0373842,186.4782811,180.8055743
295,172.2585545,187.7347013,181.917822
296,173.4795854,188.9839787,183.0222029
297,174.7001014,190.2257477,184.1184139
298,175.9197281,191.4596487,185.2061586
299,177.1380923,192.685329,186.2851471
300,178.3548229,193.9024428,187.3550965
301,179.5695503,195.1106513,188.4157306
302,180.7819071,196.3096231,189.4667804
303,181.9915282,197.4990343,190.5079843
304,183.1980513,198.6785687,191.5390879
305,184.4011164,199.8479179,192.5598442
306,185.6003667,201.0067816,193.570014
307,186.7954486,202.1548679,194.5693657
308,187.9860118,203.291893,195.5576756
309,189.1717095,204.417582,196.5347279
310,190.352199,205.5316685,197.5003149
311,191.5271412,206.6338951,198.454237
312,192.6962013,207.7240132,199.3963026
313,193.8590491,208.8017835,200.3263288
314,195.0153586,209.8669762,201.2441406
315,196.1648089,210.9193705,202.1495718
